Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,122, 2s_ttl18_cin,2s_ttl18_cin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,123, 2s_ttl18_rrin,2s_ttl18_rrin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,124, 2s_ttl18_rtin,2s_ttl18_rtin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,125, 2s_ttl25_cio_d4,2s_ttl25_cio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,126, 2s_ttl25_cio_d8,2s_ttl25_cio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,127, 2s_ttl25_cio_d12,2s_ttl25_cio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,128, 2s_ttl25_cio_d16,2s_ttl25_cio_d16,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,129, 2s_ttl25_rrio_d4,2s_ttl25_rrio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,130, 2s_ttl25_rrio_d8,2s_ttl25_rrio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,131, 2s_ttl25_rrio_d12,2s_ttl25_rrio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,132, 2s_ttl25_rtio_d4,2s_ttl25_rtio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,133, 2s_ttl25_rtio_d8,2s_ttl25_rtio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,134, 2s_ttl25_rtio_d12,2s_ttl25_rtio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,135, 2s_ttl25_cin,2s_ttl25_cin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,136, 2s_ttl25_rrin,2s_ttl25_rrin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,137, 2s_ttl25_rtin,2s_ttl25_rtin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,138, 2s_ttl33_cio_d4,2s_ttl33_cio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,139, 2s_ttl33_cio_d4p,2s_ttl33_cio_d4p,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,140, 2s_ttl33_cio_d8,2s_ttl33_cio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,141, 2s_ttl33_cio_d8p,2s_ttl33_cio_d8p,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,142, 2s_ttl33_cio_d12,2s_ttl33_cio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,143, 2s_ttl33_cio_d12p,2s_ttl33_cio_d12p,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,144, 2s_ttl33_cio_d16,2s_ttl33_cio_d16,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,145, 2s_ttl33_cio_d16p,2s_ttl33_cio_d16p,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,146, 2s_ttl33_cio_d20,2s_ttl33_cio_d20,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,147, 2s_ttl33_cio_d20p,2s_ttl33_cio_d20p,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,148, 2s_ttl33_cio_d24,2s_ttl33_cio_d24,I/O,
